,mean_df1,std_df1,mean_df2,std_df2,mean_diff,abs_mean_diff,z-score
trace,0.05929919137466307,0.39829168243467206,0.0,0.0,0.05929919137466307,0.05929919137466307,
identities,0.05929919137466307,0.3396954828274854,0.0,0.0,0.05929919137466307,0.05929919137466307,
firewalls,0.05660377358490566,0.35187267643020254,0.0,0.0,0.05660377358490566,0.05660377358490566,
payload,0.05660377358490566,0.4644418933623946,0.0,0.0,0.05660377358490566,0.05660377358490566,
abuse,0.05660377358490566,0.3742066229162309,0.0,0.0,0.05660377358490566,0.05660377358490566,
protected,0.05660377358490566,0.26412180213700637,0.0,0.0,0.05660377358490566,0.05660377358490566,
crimes,0.05660377358490566,0.26412180213700637,0.0,0.0,0.05660377358490566,0.05660377358490566,
blueprint,0.05660377358490566,0.6447528769304142,0.0,0.0,0.05660377358490566,0.05660377358490566,
violent,0.05660377358490566,0.4585857247065596,0.0,0.0,0.05660377358490566,0.05660377358490566,
weapon,0.05660377358490566,0.6814359257910421,0.0,0.0,0.05660377358490566,0.05660377358490566,
infect,0.05390835579514825,0.4252879243590954,0.0,0.0,0.05390835579514825,0.05390835579514825,
undermines,0.05390835579514825,0.22614174509793175,0.0,0.0,0.05390835579514825,0.05390835579514825,
cash,0.05121293800539083,0.465068882366547,0.0,0.0,0.05121293800539083,0.05121293800539083,
penalties,0.05121293800539083,0.2548287934953932,0.0,0.0,0.05121293800539083,0.05121293800539083,
login,0.04851752021563342,0.26059539227698597,0.0,0.0,0.04851752021563342,0.04851752021563342,
inciting,0.04851752021563342,0.4064569543915979,0.0,0.0,0.04851752021563342,0.04851752021563342,
educating,0.04851752021563342,0.25000910597534404,0.0,0.0,0.04851752021563342,0.04851752021563342,
timing,0.04851752021563342,0.26059539227698597,0.0,0.0,0.04851752021563342,0.04851752021563342,
cyberbullying,0.04851752021563342,0.6262861029915325,0.0,0.0,0.04851752021563342,0.04851752021563342,
violation,0.04582210242587601,0.24506493490700226,0.0,0.0,0.04582210242587601,0.04582210242587601,
ransomware,0.04582210242587601,0.5840701185663022,0.0,0.0,0.04582210242587601,0.04582210242587601,
terrorist,0.04582210242587601,0.33780301415918024,0.0,0.0,0.04582210242587601,0.04582210242587601,
acquire,0.04582210242587601,0.3756832487642407,0.0,0.0,0.04582210242587601,0.04582210242587601,
bullying,0.04582210242587601,0.5652577127120273,0.0,0.0,0.04582210242587601,0.04582210242587601,
conspiracy,0.04582210242587601,0.4714010866376269,0.0,0.0,0.04582210242587601,0.04582210242587601,
exploits,0.0431266846361186,0.25099786284124126,0.0,0.0,0.0431266846361186,0.0431266846361186,
steals,0.0431266846361186,0.22844937369154622,0.0,0.0,0.0431266846361186,0.0431266846361186,
anonymity,0.0431266846361186,0.5819584201869977,0.0,0.0,0.0431266846361186,0.0431266846361186,
incites,0.0431266846361186,0.3000449202667787,0.0,0.0,0.0431266846361186,0.0431266846361186,
transformers,0.0431266846361186,0.830678610641864,0.0,0.0,0.0431266846361186,0.0431266846361186,
viruses,0.04043126684636118,0.277018542638734,0.0,0.0,0.04043126684636118,0.04043126684636118,
